PubMed ID 	 PubMed Central ID 	 Title 	 Authors 	 Year of Publication 	 Month of Publication 	 Digital Object Identifier 	 conjugation[PIA]
30286265	?	Does a conjugation site affect transport of vitamin B12-PNA conjugates into bacterial cells?	Gryko D,Wierzba A,Maximova K,Wincenciuk A,Rownicki M,Wojciechowska M,Nexo E,Trylska J	2018	10	http://doi.org//10.1002/chem.201804304	1
30267758	?	Exploiting a conjugative CRISPR/Cas9 system to eliminate plasmid harboring mcr-1 gene from Escherichia coli.	Dong H,Xiang H,Mu D,Wang D,Wang T	2018	09	http://doi.org//10.1016/j.ijantimicag.2018.09.017	1
30264928	?	Two pKM101-Encoded Proteins, the Pilus-Tip Protein TraC and Pep, Assemble on the Escherichia coli Cell Surface as Adhesins Required for Efficient Conjugative DNA Transfer.	Gonzalez-Rivera C,Khara P,Awad D,Patel R,Li YG,Bogisch M,Christie PJ	2018	09	http://doi.org//10.1111/mmi.14141	1
30254617	PMC6141735	Physicochemical Factors That Favor Conjugation of an Antibiotic Resistant Plasmid in Non-growing Bacterial Cultures in the Absence and Presence of Antibiotics.	Headd B,Bradford SA	2018	09	http://doi.org//10.3389/fmicb.2018.02122	1
30252055	?	Molecular characterization of plasmid-encoded Tripoli MBL 1 (TMB-1) in Enterobacteriaceae.	Gauthier L,Dortet L,Jousset AB,Mihaila L,Golse N,Naas T,Bonnin RA	2018	09	http://doi.org//10.1093/jac/dky372	1
30248363	?	An IncX1 plasmid isolated from Salmonella enterica subsp. enterica serovar Pullorum carrying blaTEM-1B, sul2, arsenic resistant operons.	Zhang XZ,Lei CW,Zeng JX,Chen YP,Kang ZZ,Wang YL,Ye XL,Zhai XW,Wang HN	2018	09	http://doi.org//10.1016/j.plasmid.2018.09.007	1
30242003	?	Identification and characterization of a restriction-modification enzyme reducing conjugation efficiency in Campylobacter jejuni using a co-transformation method.	Zeng X,Wu Z,Zhang Q,Lin J	2018	09	http://doi.org//10.1128/AEM.02004-18	1
30237794	PMC6135910	Pull in and Push Out: Mechanisms of Horizontal Gene Transfer in Bacteria.	Sun D	2018	09	http://doi.org//10.3389/fmicb.2018.02154	0
30208112	PMC6135404	Insights on a putative aminoacyl-tRNA-protein transferase of Leishmania major.	Sharma R,Terrao MC,Castro FF,Breitling R,Faca V,Oliveira EB,Cruz AK	2018	09	http://doi.org//10.1371/journal.pone.0203369	1
30204569	PMC6154756	Antimicrobial Resistance in Commensal Escherichia coli Isolated from Pigs and Pork Derived from Farms Either Routinely Using or Not Using In-Feed Antimicrobials.	Lugsomya K,Yindee J,Niyomtham W,Tribuddharat C,Tummaruk P,Hampson DJ,Prapasarakul N	2018	Sep	http://doi.org//10.1089/mdr.2018.0154	1
30201608	?	Conjugation inhibitors compete with palmitic acid for binding to the conjugative traffic ATPase TrwD, providing a mechanism to inhibit bacterial conjugation.	Garcia-Cazorla Y,Getino M,Sanabria-Rios DJ,Carballeira NM,de la Cruz F,Arechaga I,Cabezon E	2018	09	http://doi.org//10.1074/jbc.RA118.004716	1
30194073	?	Selection and Plasmid Transfer Underlie Adaptive Mutation in Escherichia coli.	Maisnier-Patin S,Roth JR	2018	09	http://doi.org//10.1534/genetics.118.301347	0
30186260	PMC6111213	Further Spread of a blaKPC-Harboring Untypeable Plasmid in Enterobacteriaceae in China.	Huang J,Ding H,Shi Y,Zhao Y,Hu X,Ren J,Huang G,Wu R,Zhao Z	2018	08	http://doi.org//10.3389/fmicb.2018.01938	1
30183028	?	Small neutral Gd(iii) tags for distance measurements in proteins by double electron-electron resonance experiments.	Mahawaththa MC,Lee MD,Giannoulis A,Adams LA,Feintuch A,Swarbrick JD,Graham B,Nitsche C,Goldfarb D,Otting G	2018	Sep	http://doi.org//10.1039/c8cp03532f	1
30170618	PMC6119312	Characterization of blaCTX-M sequences of Indian origin and thirteen uropathogenic Escherichia coli isolates resistant to multiple antibiotics.	Siddaramappa S,Pullela K,Thimmappa B,Devkota R,Bajaj R,Manivannan B,Mahalingam N,Pradeep BE	2018	08	http://doi.org//10.1186/s13104-018-3735-5	1
