Title 	 Authors 	 Date of Publication 	 Digital Object Identifier
Exploiting a conjugative CRISPR/Cas9 system to eliminate plasmid harboring mcr-1 gene from Escherichia coli.	Dong H Xiang H Mu D Wang D Wang T	2018 Sep 26	S0924-8579(18)30276-0 [pii] 10.1016/j.ijantimicag.2018.09.017 [doi]
Two pKM101-Encoded Proteins, the Pilus-Tip Protein TraC and Pep, Assemble on the Escherichia coli Cell Surface as Adhesins Required for Efficient Conjugative DNA Transfer.	Gonzalez-Rivera C Khara P Awad D Patel R Li YG Bogisch M Christie PJ	2018 Sep 28	10.1111/mmi.14141 [doi]
Physicochemical Factors That Favor Conjugation of an Antibiotic Resistant Plasmid in Non-growing Bacterial Cultures in the Absence and Presence of Antibiotics.	Headd B Bradford SA	2018	10.3389/fmicb.2018.02122 [doi]
Molecular characterization of plasmid-encoded Tripoli MBL 1 (TMB-1) in Enterobacteriaceae.	Gauthier L Dortet L Jousset AB Mihaila L Golse N Naas T Bonnin RA	2018 Sep 24	5106311 [pii] 10.1093/jac/dky372 [doi]
An IncX1 plasmid isolated from Salmonella enterica subsp. enterica serovar Pullorum carrying blaTEM-1B, sul2, arsenic resistant operons.	Zhang XZ Lei CW Zeng JX Chen YP Kang ZZ Wang YL Ye XL Zhai XW Wang HN	2018 Sep 21	S0147-619X(18)30045-3 [pii] 10.1016/j.plasmid.2018.09.007 [doi]
Identification and characterization of a restriction-modification enzyme reducing conjugation efficiency in Campylobacter jejuni using a co-transformation method.	Zeng X Wu Z Zhang Q Lin J	2018 Sep 21	AEM.02004-18 [pii] 10.1128/AEM.02004-18 [doi]
Pull in and Push Out: Mechanisms of Horizontal Gene Transfer in Bacteria.	Sun D	2018	10.3389/fmicb.2018.02154 [doi]
Insights on a putative aminoacyl-tRNA-protein transferase of Leishmania major.	Sharma R Terrao MC Castro FF Breitling R Faca V Oliveira EB Cruz AK	2018	10.1371/journal.pone.0203369 [doi] PONE-D-18-05132 [pii]
Antimicrobial Resistance in Commensal Escherichia coli Isolated from Pigs and Pork Derived from Farms Either Routinely Using or Not Using In-Feed Antimicrobials.	Lugsomya K Yindee J Niyomtham W Tribuddharat C Tummaruk P Hampson DJ Prapasarakul N	2018 Sep	10.1089/mdr.2018.0154 [doi]
Conjugation inhibitors compete with palmitic acid for binding to the conjugative traffic ATPase TrwD, providing a mechanism to inhibit bacterial conjugation.	Garcia-Cazorla Y Getino M Sanabria-Rios DJ Carballeira NM de la Cruz F Arechaga I Cabezon E	2018 Sep 10	RA118.004716 [pii] 10.1074/jbc.RA118.004716 [doi]
Selection and Plasmid Transfer Underlie Adaptive Mutation in Escherichia coli.	Maisnier-Patin S Roth JR	2018 Sep 7	genetics.118.301347 [pii] 10.1534/genetics.118.301347 [doi]
Further Spread of a blaKPC-Harboring Untypeable Plasmid in Enterobacteriaceae in China.	Huang J Ding H Shi Y Zhao Y Hu X Ren J Huang G Wu R Zhao Z	2018	10.3389/fmicb.2018.01938 [doi]
Small neutral Gd(iii) tags for distance measurements in proteins by double electron-electron resonance experiments.	Mahawaththa MC Lee MD Giannoulis A Adams LA Feintuch A Swarbrick JD Graham B Nitsche C Goldfarb D Otting G	2018 Sep 19	10.1039/c8cp03532f [doi]
Characterization of blaCTX-M sequences of Indian origin and thirteen uropathogenic Escherichia coli isolates resistant to multiple antibiotics.	Siddaramappa S Pullela K Thimmappa B Devkota R Bajaj R Manivannan B Mahalingam N Pradeep BE	2018 Aug 31	10.1186/s13104-018-3735-5 [doi] 10.1186/s13104-018-3735-5 [pii]
Characterization of a Novel blaKLUC Variant With Reduced beta-Lactam Resistance From an IncA/C Group Plasmid in a Clinical Klebsiella pneumoniae Isolate.	Li P Shen K Zhang Y Ying J Zhu T Liu Y Xu L Lin C Zhang K Li P Lu J Li K Yi H Bao Q Xu T	2018	10.3389/fmicb.2018.01908 [doi]
Detection and characterization of a clinical Escherichia coli ST3204 strain coproducing NDM-16 and MCR-1.	Li X Mu X Zhang P Zhao D Ji J Quan J Zhu Y Yu Y	2018	10.2147/IDR.S175041 [doi] idr-11-1189 [pii]
Molecular characterization of plasmid-mediated AmpC beta-lactamase- and extended-spectrum beta-lactamase-producing Escherichia coli and Klebsiella pneumoniae among corvids (Corvus brachyrhynchos and Corvus corax) roosting in Canada.	Jamborova I Janecko N Halova D Sedmik J Mezerova K Papousek I Kutilova I Dolejska M Cizek A Literak I	2018 Nov 1	5078344 [pii] 10.1093/femsec/fiy166 [doi]
Molecular characterization and epidemiology of carbapenem non-susceptible Enterobacteriaceae isolated from the Eastern region of Heilongjiang Province, China.	Gong X Zhang J Su S Fu Y Bao M Wang Y Zhang X	2018 Aug 22	10.1186/s12879-018-3294-3 [doi] 10.1186/s12879-018-3294-3 [pii]
